,head_type,tail_type,triple_list,cluster_list,list_count
110,CORONAVIRUS,BODY_SUBSTANCE,"['sars-cov-2-specific characterize serum', 'sars-cov-2-specific receive serum', 'sars-cov-2-specific die serum', 'sars-cov-2 include serum', 'sars-cov-2-specific include serum', 'sars-cov-2 cause plasma', 'sars-cov-2 follow serum', 'covid-19 follow serum']","['cause', 'characterize', 'follow', 'die', 'include', 'receive']",15
111,CORONAVIRUS,CARDINAL,"['sars-cov-2 induce 12-15', 'covid-19 base n22', 'covid-19 treat n22', 'sars-cov-2 diagnose 525 263', 'sars-cov-2 diagnose 216', 'sars-cov-2 vaccinate 525 263', 'sars-cov-2 vaccinate 216', 'sars-cov-2 receive 216']","['base', 'diagnose', 'induce', 'vaccinate', 'treat', 'receive']",392
112,CORONAVIRUS,CELL,"['sars induce cell', 'cov2 induce cell', 'coronavirus induce cell', 'sars induce cell', 'cov2 induce cell', 'sars-cov-2-specific characterize b cell', 'sars-cov-2-specific characterize follicular', 'sars-cov-2 generate memory b']","['generate', 'induce', 'characterize']",32
113,CORONAVIRUS,CHEMICAL,"['sars-cov-2 induce spain', 'covid-19 base ocrelizumab', 'sars-cov-2 induce influenza', 'covid-19 need vaccine', 'sars-cov-2-specific circulate vaccine', 'sars-cov-2-specific characterize indicator', 'sars-cov-2-specific characterize cxcl13', 'sars-cov-2-specific receive cxcl13']","['base', 'need', 'characterize', 'circulate', 'induce', 'receive']",492
114,CORONAVIRUS,CORONAVIRUS,"['coronavirus cause sars-cov-2', 'covid-19 cause sars-cov-2', 'coronavirus cause sars-cov-2', 'coronavirus increase covid-19', 'sars-cov-2 diagnose sars-cov-2-specific', 'sars-cov-2 diagnose sars-cov-2-specific', 'sars-cov-2 vaccinate sars-cov-2-specific', 'covid-19 undergo sars-cov-2']","['cause', 'diagnose', 'undergo', 'vaccinate', 'increase']",299
115,CORONAVIRUS,DISEASE_OR_SYNDROME,"['covid19 become respiratory syndrome', 'sars induce heart', 'sars induce cancer', 'cov2 induce heart', 'cov2 induce cancer', 'coronavirus induce heart', 'coronavirus induce cancer', 'sars induce heart']","['induce', 'become']",510
116,CORONAVIRUS,EUKARYOTE,"['covid-19 set human', 'sars-cov-2 set human', 'coronaviruses discuss human', 'hcovs discuss human', 'covid-19 receive chimpanzee', 'sars-cov-2 receive chimpanzee', 'covid-19 explore macaque', 'sars-cov-2 explore macaque']","['explore', 'discuss', 'receive', 'set']",49
117,CORONAVIRUS,FAC,"['coronaviruses discuss 229e', 'hcovs discuss 229e', 'coronaviruses observe 229e', 'hcovs observe 229e', 'coronaviruses observe 229e', 'sars-cov-2 provide 5100', 'coronaviruses make 229e', 'hcovs make 229e']","['observe', 'provide', 'circulate', 'discuss', 'make', 'emerge']",14
118,CORONAVIRUS,FOOD,"['covid-19 monitor boost', 'covid-19 use boost', 'sars-cov-2 use boost']","['monitor', 'use']",3
119,CORONAVIRUS,GENE_OR_GENOME,"['sars induce qtc', 'cov2 induce qtc', 'coronavirus induce qtc', 'sars induce qtc', 'cov2 induce qtc', 'covid-19 select phd', 'covid-19 base n37', 'sars-cov-2-specific characterize n32']","['select', 'base', 'induce', 'characterize']",172
120,CORONAVIRUS,GPE,"['sars induce new york', 'cov2 induce new york', 'coronavirus induce new york', 'sars induce new york', 'cov2 induce new york', 'covid-19 observe new zealand', 'sars-cov-2 follow germany', 'covid-19 relate switzerland']","['follow', 'induce', 'relate', 'observe']",36
121,CORONAVIRUS,GROUP,"['sars-cov-2 induce health professionals', 'sars-cov-2-specific characterize patient', 'sars-cov-2-specific characterize patient', 'sars-cov-2-specific characterize patient', 'covid-19 receive cohort', 'covid-19 receive patient', 'covid-19 receive cohort', 'covid-19 receive patient']","['induce', 'receive', 'characterize']",544
122,CORONAVIRUS,IMMUNE_RESPONSE,"['sars-cov-2-specific characterize immunity', 'sars-cov-2 report immunotherapy', 'sars-cov-2 make immunotherapy', 'coronavirus provide immunity', 'coronavirus capitalize immunity', 'covid-19 capitalize immunity', 'coronavirus establish immunity', 'covid-19 establish immunity']","['establish', 'provide', 'characterize', 'capitalize', 'make', 'report']",31
123,CORONAVIRUS,INJURY_OR_POISONING,"['covid-19 associate rupture', 'covid-19 inform injury', 'covid-19 harbor injury', 'covid-19 vaccinate injury']","['associate', 'vaccinate', 'harbor', 'inform']",4
124,CORONAVIRUS,LOC,"['sars-cov-2 increase non-psychiatric', 'covid-19 neutralize east', 'coronaviruses neutralize east', 'covid-19 emerge delta', 'sars-cov-2-specific increase virus-specific']","['emerge', 'increase', 'neutralize']",5
125,CORONAVIRUS,NORP,"['sars-cov-2 screen polish', 'covid-19 report italian', 'covid-19 make italian', 'sars-cov-2 test croatian', 'covid-19 receive indian', 'covid-19 neutralize indian', 'covid-19 induce indian', 'sars-cov-2 circulate czech']","['monitor', 'test', 'neutralize', 'screen', 'circulate', 'induce', 'make', 'use', 'receive', 'report']",12
126,CORONAVIRUS,ORG,"['sars evaluate healthcare', 'cov2 evaluate healthcare', 'sars-cov2 evaluate healthcare', 'sars-cov-2 diagnose virus-specific', 'sars-cov-2 diagnose igg', 'sars-cov-2 vaccinate virus-specific', 'sars-cov-2 vaccinate igg', 'sars-cov-2 receive virus-specific']","['evaluate', 'receive', 'diagnose', 'vaccinate']",59
127,CORONAVIRUS,ORGANISM,"['sars-cov-2 report people', 'sars-cov-2 generate convalescent', 'covid-19 lay patient', 'coronavirus provide human', 'coronavirus capitalize human', 'covid-19 capitalize human', 'coronavirus establish human', 'covid-19 establish human']","['establish', 'provide', 'capitalize', 'generate', 'lay', 'report']",37
128,CORONAVIRUS,SIGN_OR_SYMPTOM,"['covid-19 set symptom', 'sars-cov-2 set symptom', 'coronavirus vaccinate symptom', 'coronavirus develop symptom', 'covid-19 develop symptom', 'coronavirus develop symptom', 'sars-cov-2 develop symptom', 'covid-19 collect symptom']","['collect', 'develop', 'vaccinate', 'set']",24
129,CORONAVIRUS,SUBSTRATE,"['sars-cov-2 include saliva', 'sars-cov-2-specific include saliva', 'sars-cov-2 neutralize blood', 'sars-cov-2 neutralize blood', 'sars-cov-2 see blood', 'sars-cov-2 see blood', 'sars-cov-2 need blood', 'ncov-19 relate blood']","['need', 'see', 'relate', 'include', 'neutralize']",17
130,CORONAVIRUS,TISSUE,"['sars-cov-2 include broncho-alveolar fluid', 'sars-cov-2-specific include broncho-alveolar fluid', 'sars-cov-2 neutralize peripheral', 'sars-cov-2 see peripheral', 'ncov-19 relate peripheral', 'coronavirus exist peripheral', 'covid-19 exist peripheral', 'coronavirus exist peripheral']","['receive', 'test', 'see', 'exist', 'relate', 'vaccinate', 'include', 'develop', 'neutralize']",15
131,CORONAVIRUS,VIRUS,"['coronaviruses discuss oc43', 'hcovs discuss oc43', 'coronaviruses observe oc43', 'hcovs observe oc43', 'coronaviruses observe oc43', 'covid-19 observe nl63', 'sars-cov-2 observe nl63', 'sars-cov-2 evaluate subgroup']","['observe', 'collect', 'circulate', 'evaluate', 'discuss', 'treat', 'make', 'receive', 'emerge']",28
132,DISEASE_OR_SYNDROME,BACTERIUM,"['rickettsial complete intracellular', 'rickettsial complete bacterium', 'septicaemia complete intracellular', 'septicaemia complete bacterium', 'meningococci describe neisseria', 'brucellosis induce brucella', 'oropharyngeal match streptococcus']","['complete', 'induce', 'describe', 'match']",7
133,DISEASE_OR_SYNDROME,BODY_PART_ORGAN_OR_ORGAN_COMPONENT,"['cereus perform preterm', 'virus infection affect organ', 'virus infection affect heart', 'influenza affect organ', 'influenza affect heart', 'viral infection consider organ', 'cerebral need synaptic', 'hypometabolism need synaptic']","['consider', 'perform', 'affect', 'need']",75
134,DISEASE_OR_SYNDROME,BODY_SUBSTANCE,"['infection cause plasma', 'plasmodium inform plasma', 'plasmodium confirm plasma']","['cause', 'confirm', 'inform']",3
135,DISEASE_OR_SYNDROME,CARDINAL,"['rheumatic diseases base n22', 'rheumatic diseases treat n22', 'hematological disorders affect 137', 'adenovirus receive 415', 'plasmodium receive 415', 'adenovirus associate 415', 'plasmodium associate 415', 'intracerebral haemorrhage average 16100000']","['associate', 'base', 'treat', 'affect', 'receive', 'average']",314
136,DISEASE_OR_SYNDROME,CELL,"['heart failure induce cell', 'hypersensitivity induce cell', 'allergy induce cell', 'eye induce cell', 'adenovirus report china', 'adenovirus report china', 'adenovirus report china', 'cereus perform b']","['perform', 'induce', 'report']",40
137,DISEASE_OR_SYNDROME,CHEMICAL,"['submacular hemorrhage relate vaccine', '-related relate vaccine', 'budd-chiari syndrome cause vena', 'thrombotic acquire bnt162b2', 'thrombotic acquire vaccine', 'thrombocytopenic acquire bnt162b2', 'thrombocytopenic acquire vaccine', 'purpura acquire bnt162b2']","['cause', 'relate', 'acquire']",752
138,DISEASE_OR_SYNDROME,CORONAVIRUS,"['submacular hemorrhage relate sars-cov-2', '-related relate sars-cov-2', 'muscle edema observe covid-19', 'respiratory syndrome cause sars-cov-2', 'hematopoietic increase covid-19', 'hsct increase covid-19', 'infection decline covid-19', 'solid tumour receive covid-19']","['observe', 'cause', 'relate', 'decline', 'receive', 'increase']",242
139,DISEASE_OR_SYNDROME,DISEASE_OR_SYNDROME,"['heart failure induce heart', 'heart failure induce cancer', 'hypersensitivity induce heart', 'hypersensitivity induce cancer', 'allergy induce heart', 'allergy induce cancer', 'eye induce heart', 'eye induce cancer']",['induce'],658
140,DISEASE_OR_SYNDROME,EUKARYOTE,"['boulardii observe broiler', 'boulardii observe broiler', 'boulardii observe broiler', 'parvovirus compare canine', 'parvovirus compare canine', 'parvovirus suspect dog', 'bronchitis include human']","['include', 'compare', 'suspect', 'observe']",7
141,DISEASE_OR_SYNDROME,FAC,"['thrombosis syndrome include guillain-barrÃ\x83\x83Ã\x83\x82', 'anaphylaxis include guillain-barrÃ\x83\x83Ã\x83\x82', 'thrombocytopenia include guillain-barrÃ\x83\x83Ã\x83\x82', 'histocompatibility receive vp1-specific', 'cancer test 8805', 'measles afford 5100', 'measles provide 5100', 'cancer associate 56-72']","['associate', 'test', 'provide', 'diagnose', 'fold', 'show', 'afford', 'include', 'receive']",13
142,DISEASE_OR_SYNDROME,FOOD,"['boulardii observe diet', 'specimen collect boost', 'adenovirus observe boost']","['collect', 'observe']",3
143,DISEASE_OR_SYNDROME,GENE_OR_GENOME,"['heart failure induce qtc', 'hypersensitivity induce qtc', 'allergy induce qtc', 'eye induce qtc', 'rheumatic diseases base n37', 'thrombocytopenia induce tt', 'immunocompromised adjust ci 12Ã\x83\x83Ã\x83\x82Ã\x83\x82109', 'immunocompromised adjust ci 11Ã\x83\x83Ã\x83\x82Ã\x83\x8289']","['base', 'induce', 'adjust']",385
144,DISEASE_OR_SYNDROME,GPE,"['heart failure induce new york', 'hypersensitivity induce new york', 'allergy induce new york', 'eye induce new york', 'adenovirus report japan', 'adenovirus report usa', 'adenovirus report singapore', 'adenovirus report france']","['induce', 'report']",44
145,DISEASE_OR_SYNDROME,GROUP,"['immunocompromised adjust patient', 'hepatitis b describe young', 'hepatitis b describe adult', 'hepatitis b describe volunteer', 'endocrine disorders receive cohort', 'endocrine disorders receive patient', 'autoimmune receive cohort', 'autoimmune receive patient']","['adjust', 'describe', 'receive']",329
146,DISEASE_OR_SYNDROME,IMMUNE_RESPONSE,"['metabolic disease relate immunization', 'obesity relate immunization', 'metabolic disease recognize immunization', 'obesity recognize immunization', 'specimen provide immunization', 'specimen induce immunization', 'specimen aim immunization', 'solid reduce immunotherapy']","['reduce', 'provide', 'induce', 'relate', 'aim', 'recognize']",37
147,DISEASE_OR_SYNDROME,LIVESTOCK,"['hyopneumoniae vaccinate pig', 'bronchitis need chicken', 'bronchitis need chicken', 'bronchitis need chicken', 'bronchitis base chicken', 'bronchitis base chicken', 'bronchitis base chicken', 'bronchitis avoid chicken']","['base', 'need', 'avoid', 'vaccinate']",24
148,DISEASE_OR_SYNDROME,LOC,"['adenovirus report europe', 'infection decline south america', 'arthritis report diphteria-poliomyelitis-tetanus', 'typhoid fever improve africa', 'salmonella typhi improve africa', 'pneumonia aim west', 'solid follow bnt162b2', 'tumor follow bnt162b2']","['follow', 'decline', 'improve', 'aim', 'report']",24
149,DISEASE_OR_SYNDROME,NORP,"['specimen provide south africans', 'hepatitis c induce egyptian', 'blood-borne induce egyptian', 'bronchitis need european', 'bronchitis base european', 'bronchitis avoid european', 'pneumonia aim african', 'prophylaxis receive indian']","['base', 'need', 'provide', 'induce', 'avoid', 'aim', 'receive']",18
150,DISEASE_OR_SYNDROME,ORG,"['allergy andor induce ae', 'anaphylaxis induce ae', 'hcws include igg', 'fever make ae', 'boulardii observe fed', 'specimen collect igg', 'specimen test igg', 'eclia assay igg']","['assay', 'test', 'observe', 'collect', 'induce', 'make', 'include']",42
151,DISEASE_OR_SYNDROME,ORGANISM,"['hepatitis b affect people', 'viral infection consider recipient', 'hypoferremia provide mouse', 'hypoferremia improve mouse', 'lymphadenopathy lay patient', 'respiratory disease observe people', 'infection detect cat', 'infection detect cat']","['detect', 'observe', 'provide', 'improve', 'consider', 'affect', 'lay']",74
152,DISEASE_OR_SYNDROME,SIGN_OR_SYMPTOM,"['wheezing include quality life', 'asthma include quality life', 'weakness report symptom', 'weakness indicate symptom', 'headache indicate symptom', 'myalgia indicate symptom', 'chill indicate symptom', 'fever indicate symptom']","['include', 'indicate', 'report']",64
153,DISEASE_OR_SYNDROME,SUBSTRATE,"['viral infections neutralize blood', 'viral infections neutralize blood', 'viral infections see blood', 'viral infections see blood', 'respiratory syndrome develop specimen', 'oral age blood', 'parasitemia vaccinate blood', 'hematologic boost blood', 'malignancy boost blood']","['see', 'age', 'vaccinate', 'boost', 'develop', 'neutralize']",9
154,DISEASE_OR_SYNDROME,TISSUE,"['budd-chiari syndrome cause hepatic venules', 'budd-chiari syndrome cause inferior', 'budd-chiari syndrome cause cava', 'rheumatoid diagnose connective tissue', 'cough paroxysms include chest', 'vomiting include chest', 'pneumonia observe alveolar epithelium', 'pneumonia aim perch']","['observe', 'cause', 'diagnose', 'aim', 'include']",35
155,DISEASE_OR_SYNDROME,VIRUS,"['hepatitis c induce cytomegalovirus', 'blood-borne induce cytomegalovirus', 'pneumoniae devastate metapneumovirus', 'vaccinia develop prrsv', 'vacv develop prrsv', 'diarrhea nest rotavirus', 'diarrhea nest rotavirus', 'oral attenuate rotavirus']","['associate', 'devastate', 'observe', 'attenuate', 'induce', 'nest', 'investigate', 'develop']",14
156,EUKARYOTE,BACTERIUM,"['salmonid complete intracellular', 'salmonid complete bacterium']",['complete'],2
157,EUKARYOTE,BODY_PART_ORGAN_OR_ORGAN_COMPONENT,"['anopheles evaluate salivary', 'fox associate oral', 'fox associate parenteral', 'hamster improve lung']","['improve', 'evaluate', 'associate']",4
158,EUKARYOTE,BODY_SUBSTANCE,"['ferret show serum', 'rat show plasma']",['show'],2
159,EUKARYOTE,CARDINAL,"['human observe 2015-20', 'human observe one', 'primate modify three', 'primate induce three', 'human induce three', 'primate circulate three', 'rhesus receive two', 'rhesus receive six']","['modify', 'observe', 'circulate', 'induce', 'receive']",42
160,EUKARYOTE,CELL,"['mosquito include brazil', 'sporozoite compare cellular']","['include', 'compare']",2
161,EUKARYOTE,CHEMICAL,"['animal models use influenza', 'dog perform antibody', 'human observe belgium', 'human observe influenza', 'human observe belgium', 'primate modify vaccine', 'primate induce vaccine', 'human induce vaccine']","['modify', 'observe', 'induce', 'perform', 'use']",74
162,EUKARYOTE,CORONAVIRUS,"['human observe hcovs', 'hamster induce sars-cov-2', 'hamster vaccinate sars-cov-2', 'hamster improve sars-cov-2', 'human make hcovs', 'human emerge hcovs']","['observe', 'induce', 'vaccinate', 'make', 'improve', 'emerge']",6
163,EUKARYOTE,DISEASE_OR_SYNDROME,"['human observe respiratory infection', 'human observe specimen', 'human observe influenza-like', 'human observe fever', 'human observe cough', 'human observe dyspnoea', 'mosquito include dengue', 'mosquito include dengvaxia']","['include', 'observe']",54
164,EUKARYOTE,EUKARYOTE,"['primate modify human', 'primate circulate human', 'culex report anopheles']","['circulate', 'modify', 'report']",3
165,EUKARYOTE,FAC,"['animal models use pre-immune', 'animal models investigate pre-immune', 'human observe 229e', 'serum test b1351', 'serum test d614g', 'serum vaccinate b1351', 'serum vaccinate d614g', 'human make 229e', 'human emerge 229e']","['test', 'observe', 'vaccinate', 'make', 'investigate', 'use', 'emerge']",9
166,EUKARYOTE,GENE_OR_GENOME,"['primate modify rsv f', 'primate induce rsv f', 'human induce rsv f', 'primate circulate rsv f', 'anopheles evaluate gsg6-p1', 'anopheles receive igg1', 'anopheles receive igg3', 'anopheles induce igg3']","['modify', 'circulate', 'evaluate', 'induce', 'receive']",30
167,EUKARYOTE,GROUP,"['human observe patient', 'human observe patient', 'human observe patient', 'human observe patient', 'primate circulate anatomy', 'human make patient', 'human make patient', 'human make patient']","['receive', 'test', 'observe', 'collect', 'circulate', 'make', 'aim', 'use', 'emerge']",23
168,EUKARYOTE,IMMUNE_RESPONSE,"['primate modify immunization', 'primate induce immunization', 'human induce immunization', 'primate circulate immunization', 'rhesus challenge immunization', 'macaque challenge immunization', 'rhesus receive immunization', 'macaque receive immunization']","['modify', 'challenge', 'vary', 'circulate', 'induce', 'range', 'receive']",12
169,EUKARYOTE,INJURY_OR_POISONING,['culex report bite'],['report'],1
170,EUKARYOTE,LIVESTOCK,['guinea provide pig'],['provide'],1
171,EUKARYOTE,LOC,"['trypanosomes predispose africa', 'trypanosomes predispose europe']",['predispose'],2
172,EUKARYOTE,ORG,"['fisher square mann', 'fisher square u', 'human design igg', 'hamster improve igg', 'trypanosomes predispose evansi', 'monkey know old-world']","['improve', 'predispose', 'design', 'know', 'square']",6
173,EUKARYOTE,ORGANISM,"['animal models use human', 'animal models investigate human', 'chimpanzee develop hbv', 'chimpanzee use hbv', 'chimpanzee exist cat', 'chimpanzee protect cat', 'chimpanzee induce cat', 'monkey infect mother', 'monkey infect mother', 'monkey know mother']","['infect', 'develop', 'exist', 'know', 'induce', 'protect', 'investigate', 'use']",10
174,EUKARYOTE,SUBSTRATE,['rat follow blood'],['follow'],1
175,EUKARYOTE,TISSUE,"['broiler treat boulardiikg', 'broiler treat boulardiikg', 'broiler treat boulardiikg', 'broiler reduce boulardiikg', 'broiler reduce boulardiikg', 'broiler reduce boulardiikg', 'ferret show mucosal']","['reduce', 'show', 'treat']",7
176,EUKARYOTE,VIRUS,"['human observe oc43', 'rhesus receive zikv', 'macaque receive zikv', 'rhesus vary zikv', 'macaque vary zikv', 'rhesus range zikv', 'macaque range zikv', 'human make oc43']","['vary', 'observe', 'replicate', 'explore', 'use', 'make', 'range', 'receive', 'emerge']",21
177,FAC,BACTERIUM,"['8805 approve mycobacterium', '8805 classify mycobacterium']","['classify', 'approve']",2
178,FAC,BODY_PART_ORGAN_OR_ORGAN_COMPONENT,"['8805 die bowel', '8805 relate bowel', 'mt10 induce heart', 'mt10 induce pancreas', 'mt10 challenge heart', 'mt10 receive heart']","['challenge', 'induce', 'relate', 'die', 'receive']",6
179,FAC,CARDINAL,"['65 collect two', 'march enrol 128', 'chad63 exist two-antigen', 'chad63 exist three-antigen', 'chad63 protect three-antigen', 'chad63 induce three-antigen', 'tarragona appear two', 'hai induce 519']","['collect', 'enrol', 'exist', 'induce', 'protect', 'appear']",30
180,FAC,CELL,"['cd20-depleting deplete b cell', 'e2 induce csfv', 'e2 receive csfv']","['deplete', 'induce', 'receive']",3
181,FAC,CHEMICAL,"['8805 approve vaccine', '8805 approve vaccine', '8805 classify vaccine', '8805 classify vaccine', '8805 die copd', '8805 relate copd', 'vectormrna-boosting boost mrna', 'vectormrna-boosting boost vaccine']","['classify', 'relate', 'die', 'boost', 'approve']",35
182,FAC,CORONAVIRUS,"['8805 approve covid-19', '8805 classify covid-19']","['classify', 'approve']",2
183,FAC,DISEASE_OR_SYNDROME,"['cd20-depleting deplete hodgkin lymphoma', 'cd20-depleting include hodgkin lymphoma', '8805 approve bacterial infection', '8805 approve allergy', '8805 approve infection', '8805 approve tuberculosis', '8805 approve tuberculosis', '8805 approve fever']","['deplete', 'include', 'approve']",45
184,FAC,EUKARYOTE,['t-laiv observe ferret'],['observe'],1
185,FAC,FAC,"['e2 farrow pre-farrowing', 'pre-farrowing farrow e2', 'b1617 detect india']","['detect', 'farrow']",3
186,FAC,GENE_OR_GENOME,"['e2 farrow csfv antibody', 'e2 farrow mlv', 'e2 farrow mlv', 'pre-farrowing farrow mlv', '8805 approve bcg', '8805 approve bcg', '8805 classify bcg', '8805 classify bcg']","['classify', 'approve', 'farrow']",20
187,FAC,GROUP,"['granzyme decrease patient', '8805 die patient', '8805 test survivor', '8805 associate survivor', '229e test patient', '229e test patient', '229e collect patient', '229e aim patient']","['associate', 'test', 'perform', 'collect', 'decrease', 'do', 'die', 'consider', 'aim', 'hospitalize']",14
188,FAC,LIVESTOCK,['e2 farrow piglet'],['farrow'],1
189,FAC,LOC,['t-laiv observe delta'],['observe'],1
190,FAC,NORP,['3094100000 receive 29723'],['receive'],1
191,FAC,ORG,"['cd20-depleting deplete nhl', 'cd20-depleting include nhl']","['deplete', 'include']",2
192,FAC,ORGANISM,"['1-816 range men', 'e2 induce porcine', 'mt10 report serotypes', 'chad63 exist cat', 'chad63 protect cat', 'chad63 induce cat']","['exist', 'induce', 'protect', 'range', 'report']",6
193,FAC,SIGN_OR_SYMPTOM,"['8805 die hepatopathies', '8805 relate hepatopathies']","['relate', 'die']",2
194,FOOD,CARDINAL,"['boost receive 415', 'boost associate 415', 'diet reduce 500']","['reduce', 'associate', 'receive']",3
195,FOOD,CHEMICAL,"['boost receive chmi', 'boost associate chmi', 'nutrient conserve vaccine', 'nutrient conserve iron', 'boost test nab', 'fowl test antagonist', 'boost detect vaccine', 'boost develop vaccine']","['associate', 'test', 'detect', 'conserve', 'develop', 'receive']",8
196,FOOD,CORONAVIRUS,"['boost test sars-cov-2', 'boost neutralize sars-cov-2']","['test', 'neutralize']",2
197,FOOD,DISEASE_OR_SYNDROME,"['boost receive malaria infection', 'boost associate malaria infection', 'nutrient conserve inflammatory disorders']","['conserve', 'associate', 'receive']",3
198,FOOD,EUKARYOTE,['boost receive mosquito'],['receive'],1
199,FOOD,GENE_OR_GENOME,"['boost receive cd8 cell', 'boost receive membrane', 'boost receive antigen-1', 'boost receive pfama1', 'boost associate cd8 cell', 'boost associate membrane', 'boost associate antigen-1', 'boost associate pfama1']","['associate', 'test', 'reduce', 'develop', 'receive']",16
200,FOOD,GROUP,['boost test surrogate'],['test'],1
201,FOOD,LIVESTOCK,['boost use pig'],['use'],1
202,FOOD,ORG,['boost test igg'],['test'],1
203,FOOD,ORGANISM,['boost detect human'],['detect'],1
204,FOOD,TISSUE,"['diet treat boulardiikg', 'diet reduce boulardiikg']","['reduce', 'treat']",2
205,GENE_OR_GENOME,BACTERIUM,"['hcw approve mycobacterium', 'hcw classify mycobacterium', 'th1 compare bordetella', 'il-5 compare bordetella', 'b describe neisseria', 'rivv induce brucella', 'h1n1 receive chlamydia', 'rsv describe streptococcus', 'cs7 detect etec']","['receive', 'compare', 'classify', 'detect', 'induce', 'describe', 'approve']",9
206,GENE_OR_GENOME,BODY_PART_ORGAN_OR_ORGAN_COMPONENT,"['cd8 cell provide lung', 'pro- provide lung', 'c-x-c observe brain', 'cxcl13 observe brain', 'age-based capitalize alveolar', 'age-based establish alveolar', 'age-based boost alveolar', 'cd4 show lung']","['establish', 'observe', 'provide', 'show', 'capitalize', 'boost']",41
207,GENE_OR_GENOME,BODY_SUBSTANCE,"['b-cell t-cell characterize serum', 'b-cell t-cell receive serum', 'n32 receive serum', 'gc receive serum', 'long-term receive serum', 'gc receive serum', 'b-cell t-cell die serum', 'n32 die serum']","['die', 'receive', 'characterize']",26
208,GENE_OR_GENOME,CARDINAL,"['t-cell base n22', 't-cell treat n22', 'n37 treat n22', 'hadv-b7 detect 146', 'hadv-b7 detect 136', 'crp Ã\x83\x83Ã\x83\x82pmi-2426 induce approximately', 'tt terminator induce approximately', 'tt induce approximately']","['base', 'induce', 'detect', 'treat']",305
209,GENE_OR_GENOME,CELL,"['b-cell t-cell characterize b cell', 'b-cell t-cell characterize follicular', 'pcsk9 play cell', 'coronavac induce b cell', 'sinovac induce b cell', 'bnt162b2 induce b cell', 'coronavac show b cell', 'sinovac show b cell']","['induce', 'play', 'show', 'characterize']",55
210,GENE_OR_GENOME,CHEMICAL,"['age-related relate vaccine', 'thrombospondin type evaluate adamts13', 'metalloproteinase evaluate adamts13', 'cd4t rm decrease cytokine', 'cd4t rm decrease cytokine', 'iel cd103Ã\x83\x83Ã\x83\x82Ã\x83\x82 observe cytokine', 't-cell base ocrelizumab', 'hadv-b7 detect hadv-e4']","['detect', 'observe', 'base', 'decrease', 'evaluate', 'relate']",584
211,GENE_OR_GENOME,CORONAVIRUS,"['age-related relate sars-cov-2', 'plwh observe covid-19', 'cd4t cells increase covid-19', 'bcg associate covid-19', 'hcw approve covid-19', 'hcw classify covid-19', 'cd4 cells include covid-19', 'cd8 cells include covid-19']","['associate', 'classify', 'observe', 'relate', 'include', 'approve', 'increase']",158
212,GENE_OR_GENOME,DISEASE_OR_SYNDROME,"['cd8 cell play infection', 'b consider meningococcal disease', 'dna-primehuman receive malaria infection', 'huad5 receive malaria infection', 'dna-primehuman associate malaria infection', 'huad5 associate malaria infection', 'ci average embolism', 'ci average idiopathic']","['associate', 'play', 'consider', 'receive', 'average']",274
213,GENE_OR_GENOME,EUKARYOTE,"['nhps modify human', 'nhps circulate human', 'rsc0012 confer balbc', 'ps-saoa confer balbc', 'studyc_st_absthe receive chimpanzee', 'studyc_st_absthe vaccinate chimpanzee', 'phytase observe broiler', 'phytase observe broiler']","['modify', 'confer', 'observe', 'circulate', 'vaccinate', 'receive']",27
214,GENE_OR_GENOME,FAC,"['cd4 t-cell range 280', 'ae37 compare hr', 'ae37 compare hr', 'cg compare hr', 'cg compare hr', 'ae37 show hr', 'ae37 show hr', 'cg show hr']","['compare', 'range', 'show']",33
215,GENE_OR_GENOME,FOOD,"['phytase observe diet', 'b117 compare boost']","['compare', 'observe']",2
216,GENE_OR_GENOME,GENE_OR_GENOME,"['hla-dr receive cd4 cell', 'icd-10 select phd', 'cd4t rm decrease il-17a', 'cd4t rm decrease il-17a', 'iel cd103Ã\x83\x83Ã\x83\x82Ã\x83\x82 observe cd4t rm', 'iel cd103Ã\x83\x83Ã\x83\x82Ã\x83\x82 observe cd4t rm', 'iel cd103Ã\x83\x83Ã\x83\x82Ã\x83\x82 observe il-17a', 't-cell base n37']","['observe', 'base', 'decrease', 'select', 'receive']",442
217,GENE_OR_GENOME,GPE,"['hcv induce egypt', 'immunoglobulin use ireland', 'immunoglobulin use germany', 'ibv detect india', 'gi-1 belong india', 'gi-13 belong india', 'rsv report israel', 'embase evaluate wanfang']","['receive', 'detect', 'provide', 'evaluate', 'induce', 'treat', 'use', 'belong', 'report']",12
218,GENE_OR_GENOME,GROUP,"['hadv-b7 detect patient', 'aor 114 adjust patient', 'gp2 compare patient', 'cg compare patient', 'her2 compare patient', 'b-cell t-cell characterize patient', 'b-cell t-cell characterize patient', 'b-cell t-cell characterize patient']","['compare', 'adjust', 'detect', 'characterize']",195
219,GENE_OR_GENOME,IMMUNE_RESPONSE,"['cd4t rm observe immunization', 'iel observe immunization', 'iel observe immunization', 'plwh observe immunization', 'b-cell t-cell characterize immunity', 'hiv-1-uninfected induce immunization', 'hiv-1-uninfected aim immunization', 'age-based capitalize immunity']","['observe', 'characterize', 'induce', 'capitalize', 'aim']",37
